epoch,train_loss,val_loss
1,0.16927108405889457,0.15151940162431463
2,0.14878372381450516,0.14848058146259846
3,0.1446464597416593,0.14669090647936298
4,0.1413288064141183,0.14751946213335768
5,0.13823689460729804,0.14699954395636325
6,0.13516772509531022,0.14743999187373943
7,0.13215572823441463,0.1497034250022272
8,0.1284029498548791,0.15112605993551897
9,0.12494780508057513,0.15303872685059097
10,0.11390835429132969,0.15770430424475929
11,0.10737507435010604,0.1632396528490614
12,0.10192921263451624,0.1695075860442022
