epoch,train_loss,val_loss
1,0.9302814664325305,0.8872436649209756
2,0.8736215214131295,0.8701504228993013
3,0.8548351131846802,0.8757844165989638
4,0.8386427329072464,0.8698567110063367
5,0.8221617982332462,0.8766603907738352
6,0.8041751903079131,0.8846640732099003
7,0.7831398360308247,0.8932709447528481
8,0.7611534882201614,0.9087276900933537
9,0.7355023735869836,0.9413137882947922
10,0.6654979994784881,0.9895507035918184
11,0.6247961450577175,1.040679654167017
12,0.5884684023290577,1.0769233984422166
