epoch,train_loss,val_loss
1,0.9270556187472327,0.8810513253031225
2,0.8734239574657021,0.8759823323156859
3,0.8544499601172929,0.8686272646653523
4,0.8382271894133917,0.8648932581558985
5,0.8211827937624242,0.8717650465048608
6,0.8040123880893091,0.8755777596028703
7,0.7856408220657422,0.8921311616036867
8,0.7631935394636475,0.9113028152755022
9,0.7392672499020895,0.9249502491972507
10,0.6724373713725864,0.9729610437305395
11,0.6317555927010653,1.0203253177636797
12,0.5986660612937641,1.0752706428727519
