epoch,train_loss,val_loss
1,0.0448998380944182,0.04168486669794102
2,0.04094041896854887,0.04093107941900027
3,0.03966302594182269,0.04050834147454599
4,0.03860550182763942,0.04037327322409579
5,0.03758699346561194,0.04049737840917782
6,0.03660571520760803,0.04070715675137211
7,0.03550714829155911,0.04215075475052806
8,0.034241674195901295,0.042306789129784174
9,0.03298925559986198,0.04284006557242427
10,0.029574692907063875,0.045568697531085584
11,0.02759476510420589,0.0480707268422261
12,0.026098581057091064,0.050261776201722855
