epoch,train_loss,val_loss
1,0.16925164950218533,0.1525744801313223
2,0.14837377246702857,0.14817585942708628
3,0.14428854484123366,0.1477690208232575
4,0.14093375437133776,0.14749977179544066
5,0.13761070318421711,0.14907738965825054
6,0.13420672513692095,0.1474722108067373
7,0.13036943617409016,0.14990741426010853
8,0.12611003742605545,0.1519192161193178
9,0.12185618584428487,0.1557296979432717
10,0.11712767625159949,0.15931835418251017
11,0.10342090951875098,0.1664577212843654
12,0.09575497208734846,0.17427882139271778
13,0.08954829702049297,0.18241326338762842
