epoch,train_loss,val_loss
1,0.9290283293810615,0.8843717050035939
2,0.8754574032162282,0.8774138176376639
3,0.8562927065607738,0.8684416690888388
4,0.84036022537809,0.8650434151130463
5,0.8245729941739501,0.8674116951786655
6,0.808729073198715,0.8726876682537987
7,0.7915384751735347,0.8883312840001247
8,0.7708469968866987,0.8968161254152924
9,0.749735889114169,0.9132593365567686
10,0.6877785741348471,0.9471639601870134
11,0.651377543831619,0.9825501883610922
12,0.6199881570419856,1.0373793850629338
