epoch,train_loss,val_loss
1,0.15355335716281507,0.13990904075197047
2,0.13275197640505454,0.13590059442342156
3,0.12894152326891753,0.13554424709743923
4,0.12593245006702988,0.13869217075666207
5,0.12299392026361843,0.13528400221063444
6,0.11994949132450763,0.13697042545148483
7,0.11687593953375587,0.1379831530697023
8,0.11358250922443258,0.1402898068384578
9,0.10978121325274967,0.1430673043554028
10,0.10578820421452949,0.14617915120389727
11,0.0948589329071195,0.15379637650524577
12,0.08917055019047974,0.16049615058323574
13,0.08406677592039996,0.16835871254766566
