epoch,train_loss,val_loss
1,0.16945215545766817,0.15095788735344953
2,0.1485979539947738,0.1478891145532097
3,0.14437808339228922,0.1472894987797479
4,0.1413107435818356,0.14677433996370554
5,0.13820735089136627,0.14796815536889357
6,0.13508512772521367,0.14701553194746644
7,0.13163390568774133,0.1498083759112694
8,0.12793466132195672,0.15121906811526106
9,0.12401539292002078,0.15326923764031716
10,0.11980635027336602,0.1561831955122173
11,0.1074665784221081,0.16398634839574353
12,0.10058935543233313,0.16743092788954936
13,0.09470169493012598,0.17575957887009164
