epoch,train_loss,val_loss
1,0.16937827926264346,0.15144117471059307
2,0.14867329894389847,0.14858264298538007
3,0.1445117927227083,0.14633537163211552
4,0.14115376158220933,0.14675010201464062
5,0.1378542434411867,0.14702189659921702
6,0.13448960734869386,0.14725242914221778
7,0.13109707609802582,0.150282129672245
8,0.1270111304624836,0.15312937037878088
9,0.12291495791534976,0.15313630001047887
10,0.11189603731773867,0.1582808868441771
11,0.10562072809256932,0.16422579038067844
12,0.1002728163384565,0.1706413968805802
13,0.09510598288965795,0.1770419311249084
