epoch,train_loss,val_loss
1,0.18252936003133408,0.15276437805501564
2,0.15021789839288385,0.14786586383297126
3,0.14547357529328012,0.14659833645831377
4,0.14184870002883496,0.14647524353345379
5,0.13859514158108446,0.14654838179476856
6,0.13545443351217623,0.1470297020238014
7,0.13212748248093198,0.1486598916674564
8,0.12837668273462713,0.15071686047939617
9,0.1247304735195027,0.15217386444337963
10,0.12075375896500479,0.15580114536659811
11,0.11175647074903788,0.1605355544721822
12,0.10737395087386122,0.16321086610536284
13,0.10362321382431504,0.16709538900195905
