epoch,train_loss,val_loss
1,0.17255801617754962,0.15218194130310514
2,0.14947317045169695,0.14838177546697404
3,0.14498455342360259,0.14759864368970213
4,0.14163881705662007,0.14815264231515274
5,0.13844595746238633,0.146974795346656
6,0.13501651553135893,0.14728840731003653
7,0.1316441869295568,0.1492533137087142
8,0.12787153657906913,0.15005661583495483
9,0.12408821126169498,0.15521548513578595
10,0.1127534123758475,0.15943762304980832
11,0.10588341535195069,0.16560521658631008
12,0.09974388270439094,0.17092094411703654
