epoch,train_loss,val_loss
1,0.9297032784117331,0.8824011704444025
2,0.8737212848348586,0.8688726270241858
3,0.8545941821124294,0.8760680962986034
4,0.8388047146275885,0.8694969573821402
5,0.8225024598266425,0.8786679904921391
6,0.8048276647974556,0.887151459601812
7,0.7837777328078109,0.8975041023983422
8,0.762380284764389,0.9025174926979878
9,0.738336413533184,0.9379891770949003
10,0.6699369490982676,0.9871980267096082
11,0.6286385729908943,1.0301287082235735
12,0.5951630498955746,1.0681907427009694
