epoch,train_loss,val_loss
1,0.16929245255149827,0.18357576069418705
2,0.16139778415534164,0.15918216813987773
3,0.15908379232504777,0.16014099922636355
4,0.15690568321854761,0.1570833060312142
5,0.15543481477047547,0.1549266053343508
6,0.15427869986804207,0.15607368042322703
7,0.1533800088078177,0.155027700029986
8,0.15253237800875513,0.1533071882888298
9,0.15180902679761252,0.15398087076815886
10,0.1512199927908261,0.15164565098629962
11,0.15074793291170605,0.15153512253765594
12,0.150300421589131,0.1508753253046141
13,0.1498786069870782,0.15170706713081267
14,0.14948524936123847,0.15351877912932785
15,0.1464668416261378,0.15010897200621853
16,0.1456162093311745,0.14886324668457793
17,0.1450913574964595,0.14866183296061164
18,0.14461427213310604,0.1494874946423386
19,0.14422251707059716,0.14922872499061834
20,0.14384744745424086,0.14977559713572802
21,0.14351615729578848,0.14870814502992355
22,0.14125386544998134,0.148166506836991
23,0.1403509465356668,0.14817018426336107
24,0.13988465243464845,0.14891386322596442
25,0.13954411567536124,0.1485402827900885
26,0.13894474680348,0.1491766428904413
27,0.13860814414746297,0.14930644027539108
28,0.13698263340337638,0.14918577438388492
29,0.1364441643109416,0.14909697770534439
30,0.13597504872054156,0.14943356978764172
31,0.13573828386911269,0.14981587088602974
32,0.1348171508794177,0.149311360859376
33,0.13432945582782083,0.14965523747115358
34,0.1339584035559161,0.15023737017482197
35,0.13371036681823015,0.15018980721489186
