epoch,train_loss,val_loss
1,0.3841944488238777,0.3667115482505048
2,0.36117780583575615,0.3614969998867073
3,0.35193891845422215,0.35776341668857997
4,0.34426745967847283,0.3583618147224726
5,0.33630862099306025,0.36186971284099434
6,0.3282275301567202,0.3622823009529699
7,0.31986817331499,0.36788344948085205
8,0.30911779854901555,0.3745868648217473
9,0.298488393327584,0.3801058082427789
10,0.2869584160079264,0.3987007773202249
11,0.2530820645244405,0.4331573802802967
12,0.2344227655738494,0.4665548080033774
13,0.21915937597454577,0.4841044872515038
